City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
4,Beira,MZ,87.89,few clouds,-19.8436,34.8389,Beira Terrace Hotel
7,Marzuq,YE,81.01,clear sky,14.4,46.4667,حيد القفلة
10,Kalmunai,LK,80.29,overcast clouds,7.4167,81.8167,VS Villa
18,Bandarbeyla,SO,82.62,few clouds,9.4942,50.8122,JABIR HOTEL
23,Hithadhoo,MV,81.72,broken clouds,-0.6,73.0833,Scoop Guest House
25,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,Le four à pain
33,Victoria,HK,84.18,clear sky,22.2855,114.1577,Mini Central
34,Maraba,BR,77.18,clear sky,-5.3686,-49.1178,Hotel Del Principe
39,Yarada,IN,88.12,haze,17.65,83.2667,Yarada Jungle Beach Resorts
47,Toamasina,MG,84.2,scattered clouds,-18.1667,49.3833,Hotel H1
48,Aquiraz,BR,80.69,overcast clouds,-3.9014,-38.3911,Pousada Rua Camurupim
49,Acarau,BR,78.46,broken clouds,-2.8856,-40.12,castelo pizzaria
53,Bani,DO,75.85,broken clouds,18.2833,-70.3333,Hospedaje Henriquez
58,Georgetown,MY,87.73,few clouds,5.4112,100.3354,Cititel Penang
62,Mega,ET,75.87,clear sky,4.05,38.3,Amanuel Guest House
65,Tshela,CD,75.78,light rain,-4.9833,12.9333,Hotel Mirador
67,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
72,Kandiaro,PK,86.67,clear sky,27.0601,68.2091,"Village Hamid Ujjan, ڳوٺ حامد اڄڻ"
74,Itarema,BR,79.16,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
79,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
80,Bengkulu,ID,80.22,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
84,Xuddur,SO,88.54,clear sky,4.1213,43.8894,Banjanay Hotel
85,De Aar,ZA,78.96,scattered clouds,-30.6497,24.0123,Nyibiba Guesthouse
86,Lar,IN,83.21,clear sky,26.2039,83.9717,Ovaiskarni ward Lar
87,Richards Bay,ZA,76.06,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
89,Bambous Virieux,MU,79.05,scattered clouds,-20.3428,57.7575,Casa Tia Villa
95,Santa Marta,CO,81.9,overcast clouds,11.2408,-74.199,Hotel La Ballena Azul
96,San Antero,CO,76.93,overcast clouds,9.3741,-75.7589,Villamarina Inn chale
102,Ouricuri,BR,76.96,few clouds,-7.8825,-40.0817,Sertão Pousada
103,Soyo,AO,77.76,overcast clouds,-6.1349,12.3689,Hospedaria ndozi'ame
110,Sao Filipe,CV,78.4,few clouds,14.8961,-24.4956,Hotel Xaguate
113,Dingle,PH,77.23,light rain,10.9995,122.6711,SEGAYA PROPERTY
125,Cabedelo,BR,75.87,few clouds,-6.9811,-34.8339,Pousada Camboinha
127,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
130,Mumford,GH,81.45,few clouds,5.2618,-0.759,Peace Guest House
140,Bonthe,SL,78.64,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
144,Buraydah,SA,75.65,overcast clouds,26.326,43.975,Mövenpick Qassim
146,Mamallapuram,IN,87.85,clear sky,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
147,Anloga,GH,83.28,few clouds,5.7947,0.8973,Pin Drop Hotel
152,Barranquilla,CO,80.38,fog,10.9639,-74.7964,HOTEL AVANTY
155,Yenagoa,NG,84.06,scattered clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
156,Fomboni,KM,79.34,clear sky,-12.28,43.7425,Auberge les abou
164,Moth,IN,80.69,clear sky,25.7167,78.95,new vinod vivah ghar
166,Mecca,SA,86.43,broken clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
168,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
179,Sur,OM,82.63,clear sky,22.5667,59.5289,Sur Plaza Hotel
190,Coro,VE,76.93,overcast clouds,11.4045,-69.6734,Federal
192,Quelimane,MZ,87.75,scattered clouds,-17.8786,36.8883,Hotel Flamingo
194,Umm Lajj,SA,78.12,overcast clouds,25.0213,37.2685,Moon light Furnished Units
202,Tandalti,SD,86.54,few clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
