City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Punta Arenas,CL,-53.15,-70.9167,46.51,76,0,6.91,clear sky
1,Busselton,AU,-33.65,115.3333,59.49,61,80,17.34,broken clouds
2,Ushuaia,AR,-54.8,-68.3,49.66,53,20,12.66,few clouds
3,Qaanaaq,GL,77.484,-69.3632,-9.99,82,95,5.68,overcast clouds
4,Beira,MZ,-19.8436,34.8389,87.89,66,20,2.3,few clouds
5,Hwange,ZW,-18.3693,26.5019,93.45,24,9,4.81,clear sky
6,Tournon-Sur-Rhone,FR,45.0667,4.8333,56.86,76,100,12.66,overcast clouds
7,Marzuq,YE,14.4,46.4667,81.01,21,7,7.23,clear sky
8,Bredasdorp,ZA,-34.5322,20.0403,67.77,46,100,8.77,overcast clouds
9,Voyvozh,RU,62.892,54.9635,0.27,92,14,3.78,few clouds
10,Kalmunai,LK,7.4167,81.8167,80.29,69,100,15.7,overcast clouds
11,Balkanabat,TM,39.5108,54.3671,67.44,28,39,7.67,scattered clouds
12,Tiznit,MA,29.5833,-9.5,66.04,32,50,2.42,scattered clouds
13,Saint-Ambroise,CA,48.5501,-71.3324,25.57,93,100,3.44,light snow
14,Gonbad-E Qabus,IR,37.25,55.1672,62.51,67,75,6.91,broken clouds
15,Kruisfontein,ZA,-34.0033,24.7314,69.6,50,94,12.57,overcast clouds
16,Arzgir,RU,45.3728,44.2206,52.57,69,100,6.02,overcast clouds
17,Tasiilaq,GL,65.6145,-37.6368,37.56,83,100,23.22,overcast clouds
18,Bandarbeyla,SO,9.4942,50.8122,82.62,60,11,18.19,few clouds
19,Osakarovka,KZ,50.565,72.5692,17.89,93,100,10.36,overcast clouds
20,Sal Rei,CV,16.1833,-22.9167,73.6,94,40,3.44,scattered clouds
21,Nanortalik,GL,60.1432,-45.2371,19.4,77,42,17.85,scattered clouds
22,Cape Town,ZA,-33.9258,18.4232,72.12,55,20,18.41,few clouds
23,Hithadhoo,MV,-0.6,73.0833,81.72,73,69,12.64,broken clouds
24,Havre-Saint-Pierre,CA,50.2334,-63.5986,26.6,93,100,16.11,light snow
25,Saint-Philippe,RE,-21.3585,55.7679,78.39,72,36,9.1,scattered clouds
26,Pangody,RU,65.85,74.4859,3.74,88,100,15.05,overcast clouds
27,Jamestown,US,42.097,-79.2353,31.71,80,100,16.11,snow
28,Saldanha,ZA,-33.0117,17.9442,71.65,63,92,17.38,overcast clouds
29,Barra Do Garcas,BR,-15.89,-52.2567,70.09,54,0,1.21,clear sky
30,Hermanus,ZA,-34.4187,19.2345,68.81,58,99,11.7,overcast clouds
31,Taoudenni,ML,22.6783,-3.9836,76.82,15,0,7.0,clear sky
32,Faya,SA,18.3851,42.4509,73.51,29,0,4.59,clear sky
33,Victoria,HK,22.2855,114.1577,84.18,73,5,5.01,clear sky
34,Maraba,BR,-5.3686,-49.1178,77.18,94,0,2.3,clear sky
35,Constantine,DZ,36.365,6.6147,60.21,67,75,9.22,broken clouds
36,Dikson,RU,73.5069,80.5464,0.64,94,100,29.21,light snow
37,Kletskaya,RU,49.3145,43.0584,38.35,91,100,5.7,moderate rain
38,Kostomuksha,RU,64.571,30.5767,29.66,93,92,2.71,overcast clouds
39,Yarada,IN,17.65,83.2667,88.12,35,15,11.5,haze
40,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,73,40,8.05,scattered clouds
41,Mendi,PG,-6.1761,143.6513,58.6,99,100,0.22,light rain
42,Nouadhibou,MR,20.931,-17.0347,73.38,46,5,14.97,clear sky
43,Florianopolis,BR,-27.6146,-48.5012,64.4,84,0,5.75,clear sky
44,Hofn,IS,64.2539,-15.2082,48.22,87,100,28.77,overcast clouds
45,Iguape,BR,-24.7081,-47.5553,65.32,86,8,2.42,clear sky
46,Cidreira,BR,-30.1811,-50.2056,64.02,63,0,3.49,clear sky
47,Toamasina,MG,-18.1667,49.3833,84.2,70,40,12.66,scattered clouds
48,Aquiraz,BR,-3.9014,-38.3911,80.69,68,100,11.74,overcast clouds
49,Acarau,BR,-2.8856,-40.12,78.46,75,65,13.02,broken clouds
50,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,16.11,light snow
51,Kiomboi,TZ,-4.2667,34.3667,69.08,65,100,3.09,overcast clouds
52,Camacha,PT,33.0833,-16.3333,63.82,94,40,5.75,scattered clouds
53,Bani,DO,18.2833,-70.3333,75.85,79,65,10.18,broken clouds
54,Makat,KZ,47.6469,53.3463,36.59,54,100,16.22,light rain
55,Namibe,AO,-15.1961,12.1522,72.23,78,75,5.75,broken clouds
56,Ambilobe,MG,-13.2,49.05,91.45,42,70,2.98,broken clouds
57,Ponta Delgada,PT,37.7333,-25.6667,61.52,67,75,8.05,broken clouds
58,Georgetown,MY,5.4112,100.3354,87.73,80,20,10.36,few clouds
59,Port Alfred,ZA,-33.5906,26.891,67.17,78,100,5.01,overcast clouds
60,Malangali,TZ,-8.5667,34.85,83.52,34,94,7.63,overcast clouds
61,East London,ZA,-33.0153,27.9116,72.54,73,40,11.5,scattered clouds
62,Mega,ET,4.05,38.3,75.87,31,0,16.91,clear sky
63,Lasa,IT,46.6166,10.7002,40.08,66,36,2.62,scattered clouds
64,Qaqortoq,GL,60.7167,-46.0333,3.78,90,9,5.99,clear sky
65,Tshela,CD,-4.9833,12.9333,75.78,90,99,1.77,light rain
66,Aksarka,RU,66.5606,67.7975,7.83,82,100,15.79,overcast clouds
67,Souillac,MU,-20.5167,57.5167,79.18,47,40,8.05,scattered clouds
68,Saint-Francois,FR,46.4154,3.9054,54.84,67,0,5.75,light rain
69,Sarny,UA,51.338,26.6019,31.21,75,98,11.5,overcast clouds
70,Chuy,UY,-33.6971,-53.4616,59.16,75,21,5.23,few clouds
71,Porto Belo,BR,-27.1578,-48.5531,62.17,79,1,5.77,clear sky
72,Kandiaro,PK,27.0601,68.2091,86.67,26,0,2.15,clear sky
73,Ribeira Grande,PT,38.5167,-28.7,61.2,72,40,10.36,scattered clouds
74,Itarema,BR,-2.9248,-39.9167,79.16,71,80,13.13,broken clouds
75,Cherdyn,RU,60.403,56.4787,10.9,80,6,2.37,clear sky
76,Lagoa,PT,39.05,-27.9833,59.27,65,100,20.6,overcast clouds
77,Guiratinga,BR,-16.3494,-53.7583,68.05,39,7,3.4,clear sky
78,Khiv,RU,41.7543,47.9306,53.92,43,83,4.25,broken clouds
79,Mahebourg,MU,-20.4081,57.7,79.09,47,40,8.05,scattered clouds
80,Bengkulu,ID,-3.8004,102.2655,80.22,80,99,11.61,overcast clouds
81,Gamboula,CF,4.1178,15.1393,83.21,52,66,2.57,broken clouds
82,Cuamba,MZ,-14.8031,36.5372,96.24,29,8,1.77,clear sky
83,Coquimbo,CL,-29.9533,-71.3436,58.73,88,100,3.44,overcast clouds
84,Xuddur,SO,4.1213,43.8894,88.54,39,2,12.12,clear sky
85,De Aar,ZA,-30.6497,24.0123,78.96,14,33,16.51,scattered clouds
86,Lar,IN,26.2039,83.9717,83.21,28,0,11.34,clear sky
87,Richards Bay,ZA,-28.783,32.0377,76.06,76,100,5.79,overcast clouds
88,Marsa Matruh,EG,31.3525,27.2453,70.39,47,0,8.37,clear sky
89,Bambous Virieux,MU,-20.3428,57.7575,79.05,47,40,8.05,scattered clouds
90,Vardo,NO,70.3705,31.1107,40.98,81,100,9.22,overcast clouds
91,Mizdah,LY,31.4451,12.9801,67.96,32,100,18.07,overcast clouds
92,Port Elizabeth,ZA,-33.918,25.5701,71.89,58,20,17.27,few clouds
93,Alta Floresta,BR,-9.8756,-56.0861,69.39,95,91,1.79,overcast clouds
94,Porto Walter,BR,-8.2686,-72.7439,69.91,99,100,0.96,overcast clouds
95,Santa Marta,CO,11.2408,-74.199,81.9,80,100,4.0,overcast clouds
96,San Antero,CO,9.3741,-75.7589,76.93,91,100,6.29,overcast clouds
97,Cayenne,GF,4.9333,-52.3333,73.44,94,0,0.0,clear sky
98,Poli,TZ,-3.3333,36.8,68.59,69,99,3.11,light rain
99,Floro,NO,61.5996,5.0328,48.96,53,0,8.05,clear sky
100,Ilulissat,GL,69.2167,-51.1,19.42,93,100,0.0,light snow
101,Maceio,BR,-9.6658,-35.7353,74.64,94,40,4.61,scattered clouds
102,Ouricuri,BR,-7.8825,-40.0817,76.96,62,24,5.48,few clouds
103,Soyo,AO,-6.1349,12.3689,77.76,75,99,7.02,overcast clouds
104,Gravdal,NO,68.1214,13.5031,42.51,56,13,8.95,few clouds
105,Longyearbyen,SJ,78.2186,15.6401,21.04,73,20,6.91,few clouds
106,Molina,CL,-35.1167,-71.2833,58.73,77,87,3.44,overcast clouds
107,Muzhi,RU,65.3667,64.6667,2.95,82,86,7.23,overcast clouds
108,North Adams,US,42.7009,-73.1087,37.06,77,100,16.11,light snow
109,Luderitz,NA,-26.6481,15.1594,73.54,50,5,17.58,clear sky
110,Sao Filipe,CV,14.8961,-24.4956,78.4,64,21,3.09,few clouds
111,Tabriz,IR,38.08,46.2919,51.26,58,75,9.22,broken clouds
112,Kampene,CD,-3.6,26.6667,83.03,61,52,2.46,light rain
113,Dingle,PH,10.9995,122.6711,77.23,91,100,11.3,light rain
114,Shiloh,US,38.5614,-89.8973,29.75,70,100,9.22,overcast clouds
115,Bereda,ES,43.2686,-7.5406,53.42,100,100,9.93,overcast clouds
116,Brighton,GB,50.8284,-0.1395,50.76,89,40,15.01,scattered clouds
117,Leh,IN,34.1667,77.5833,25.48,55,62,1.25,broken clouds
118,Straumen,NO,63.8709,11.2999,26.6,59,2,4.76,clear sky
119,San Cristobal,VE,7.7669,-72.225,64.98,97,100,1.83,overcast clouds
120,Dulce Nombre De Culmi,HN,15.1,-85.5333,66.36,99,96,2.86,overcast clouds
